import time: self [us] | cumulative | imported package
import time:      1819 |       2501 |       flet.controls.core.text
import time:      3487 |       5987 |     flet.controls.core.markdown
import time:       546 |        546 |     flet.controls.core.merge_semantics
import time:      1024 |       1024 |     flet.controls.core.pagelet
import time:       828 |        828 |     flet.controls.core.placeholder
import time:       829 |        829 |     flet.controls.core.reorderable_drag_handle
import time:      1049 |       1049 |     flet.controls.core.responsive_row
import time:       972 |        972 |     flet.controls.core.row
import time:       882 |        882 |     flet.controls.core.safe_area
import time:       501 |        501 |     flet.controls.core.screenshot
import time:      1322 |       1322 |     flet.controls.core.semantics
import time:       806 |        806 |     flet.controls.core.shader_mask
import time:       933 |        933 |     flet.controls.core.shimmer
import time:       895 |        895 |     flet.controls.core.stack
import time:       753 |        753 |     flet.controls.core.transparent_pointer
import time:       977 |        977 |     flet.controls.core.window_drag_area
import time:       986 |        986 |     flet.controls.cupertino.cupertino_action_sheet
import time:      1008 |       1008 |     flet.controls.cupertino.cupertino_action_sheet_action
import time:       824 |        824 |     flet.controls.cupertino.cupertino_activity_indicator
import time:       639 |        639 |     flet.controls.cupertino.cupertino_alert_dialog
import time:       584 |        584 |     flet.controls.cupertino.cupertino_bottom_sheet
import time:       523 |        523 |       flet.controls.geometry
import time:      1342 |       1865 |     flet.controls.cupertino.cupertino_button
import time:      1221 |       1221 |     flet.controls.cupertino.cupertino_checkbox
import time:       635 |        635 |     flet.controls.cupertino.cupertino_context_menu
import time:       705 |        705 |     flet.controls.cupertino.cupertino_context_menu_action
import time:      1209 |       1209 |     flet.controls.cupertino.cupertino_date_picker
import time:       643 |        643 |     flet.controls.cupertino.cupertino_dialog_action
import time:      1095 |       1095 |     flet.controls.cupertino.cupertino_filled_button
import time:      1318 |       1318 |     flet.controls.cupertino.cupertino_list_tile
import time:      1208 |       1208 |     flet.controls.cupertino.cupertino_picker
import time:      1027 |       1027 |     flet.controls.cupertino.cupertino_radio
import time:       973 |        973 |     flet.controls.cupertino.cupertino_segmented_button
import time:      1224 |       1224 |     flet.controls.cupertino.cupertino_slider
import time:      1128 |       1128 |     flet.controls.cupertino.cupertino_sliding_segmented_button
import time:      1279 |       1279 |     flet.controls.cupertino.cupertino_switch
import time:      1931 |       1931 |         flet.controls.material.form_field_control
import time:      3005 |       4935 |       flet.controls.material.textfield
import time:      2681 |       7615 |     flet.controls.cupertino.cupertino_textfield
import time:      1201 |       1201 |     flet.controls.cupertino.cupertino_timer_picker
import time:      1015 |       1015 |     flet.controls.cupertino.cupertino_tinted_button
import time:      1081 |       1081 |       flet.controls.material.menu_bar
import time:      2023 |       3104 |     flet.controls.material.dropdown
import time:      2466 |       2466 |     flet.controls.material.dropdownm2
import time:      1018 |       1018 |     flet.controls.material.alert_dialog
import time:      1411 |       1411 |     flet.controls.material.auto_complete
import time:       875 |        875 |     flet.controls.material.banner
import time:       840 |        840 |     flet.controls.material.bottom_sheet
